experiment,strain,series,image,cell,first,second,nuclei,mitos,cell.cycle,notes
exp012116,CMY178-37C,2,10,cell2,1,1,,n,,
exp012116,CMY178-37C,2,10,cell3,1,1,,n,,
exp012116,CMY178-37C,2,12,cell1,9,10,,c,,
exp012116,CMY178-37C,2,13,cell1,1,1,,n,,
exp012116,CMY178-37C,2,14,cell1,1,1,,n,,
exp012116,CMY178-37C,2,15,cell1,1,1,,c,,
exp012116,CMY178-37C,2,15,cell2,1,1,,n,,
exp012116,CMY178-37C,2,16,cell1,1,4,,c,,
exp012116,CMY178-37C,2,16,cell2,1,1,,n,,
exp012116,CMY178-37C,2,16,cell3,1,1,,n,,
exp012116,CMY178-37C,2,17,cell1,4,4,,c,,
exp012116,CMY178-37C,2,18,cell1,3,6,,c,,
exp012116,CMY178-37C,2,19,cell1,5,8,,c,,
exp012116,CMY178-37C,2,19,cell2,1,1,,n,,
exp012116,CMY178-37C,2,20,cell1,5,7,,c,,
exp012116,CMY178-37C,2,21,cell1,1,1,,c,,
exp012116,CMY178-37C,2,22,cell1,1,4,,c,,
exp012116,CMY178-37C,2,22,cell2,1,1,,n,,
exp012116,CMY178-37C,2,23,cell1,1,1,,n,,
exp012116,CMY178-37C,2,23,cell2,1,1,,n,,
exp012116,CMY178-37C,2,24,cell1,1,1,,c,,
exp012116,CMY178-37C,2,25,cell1,1,1,,n,,
exp012116,CMY178-37C,2,26,cell1,1,1,,n,,
exp012116,CMY178-37C,2,27,cell1,1,1,,n,,
exp012116,CMY178-37C,2,28,cell1,1,1,,n,,
exp012116,CMY178-37C,2,29,cell1,1,1,,n,,
exp012116,CMY178-37C,2,29,cell2,1,1,,n,,
exp012116,CMY178-37C,2,30,cell1,1,1,,n,,
exp012116,CMY178-37C,2,31,cell1,1,1,,n,,
exp012116,CMY178-37C,2,32,cell1,2,2,,c,,
exp012116,CMY178-37C,2,32,cell2,1,1,,n,,
exp012116,CMY178-37C,2,33,cell1,8,8,,c,,
exp012116,CMY178-37C,2,33,cell2,1,1,,c,,
exp012116,CMY178-37C,2,33,cell3,1,1,,c,,
exp012116,CMY178-37C,2,34,cell1,1,1,,n,,
exp012116,CMY178-37C,2,35,cell1,4,6,,c,,
exp012116,CMY178-37C,2,36,cell1,2,6,,c,,
exp012116,CMY178-37C,2,37,cell1,1,1,,c,,
exp012116,CMY178-37C,2,38,cell1,1,1,,n,,
exp012116,CMY178-37C,2,39,cell1,7,8,,n,,
exp012116,CMY178-37C,2,39,cell2,1,1,,n,,
exp012116,CMY178-37C,2,40,cell1,3,4,,c,,
exp012116,CMY178-37C,2,40,cell2,1,1,,c,,
exp012116,CMY178-37C,2,41,cell1,1,1,,n,,
exp012116,CMY178-37C,2,42,cell1,1,1,,n,,
exp012116,CMY178-37C,2,43,cell1,1,1,,n,,
exp012116,CMY178-37C,2,44,cell1,1,1,,n,,
exp012116,CMY178-37C,2,45,cell1,1,1,,n,,
exp012116,CMY178-37C,2,46,cell1,12,13,,c,,
exp012116,CMY178-37C,2,46,cell2,1,2,,c,,
exp012116,CMY178-37C,2,47,cell1,1,1,,n,,
exp012116,CMY178-37C,2,48,cell1,1,1,,c,,
exp012116,CMY178-37C,2,49,cell1,1,1,,n,,
exp012116,CMY178-37C,2,49,cell2,2,5,,c,,
exp012116,CMY178-37C,2,50,cell1,7,12,,c,,
exp012116,CMY178-37C,2,51,cell1,4,6,,c,,
exp012116,CMY178-37C,2,52,cell1,1,1,,n,,
exp012116,CMY178-37C,2,52,cell2,1,1,,n,,
exp012116,CMY178-37C,2,52,cell3,2,4,,c,,
exp012116,CMY178-37C,2,53,cell1,1,1,,n,,
exp012116,CMY178-37C,2,53,cell2,1,1,,c,,
exp012116,CMY178-37C,2,54,cell1,1,1,,c,,
exp012116,CMY178-37C,2,55,cell1,10,14,,c,,
exp012116,CMY178-37C,2,56,cell1,1,1,,n,,
exp012116,CMY178-37C,2,57,cell1,1,1,,n,,
exp012116,CMY178-37C,2,58,cell1,1,1,,n,,
exp012116,CMY178-37C,2,59,cell1,4,6,,c,,
exp012116,CMY178-37C,2,60,cell1,6,9,,c,,
exp012116,CMY178-37C,2,61,cell1,1,1,,n,,
exp012116,CMY178-37C,2,62,cell1,1,1,,n,,
exp012116,CMY178-37C,2,63,cell1,1,1,,n,,
exp012116,CMY178-37C,2,64,cell1,6,13,,c,,
exp012116,CMY178-37C,2,65,cell1,5,10,,c,,
exp012116,CMY178-37C,2,66,cell1,1,2,,c,,
exp012116,CMY178-37C,2,67,cell1,1,1,,n,,
exp012116,CMY178-37C,2,68,cell1,5,9,,c,,
exp012116,CMY178-37C,2,69,cell1,1,1,,n,,
exp012116,CMY178-37C,2,70,cell1,1,1,,n,,
exp012116,CMY178-37C,2,71,cell1,1,1,,n,,
exp012116,CMY178-37C,2,72,cell1,1,1,,n,,
exp012116,CMY178-37C,2,73,cell1,1,1,,n,,
exp012116,CMY178-37C,2,74,cell1,1,1,,c,,
exp012116,CMY178-37C,2,75,cell1,1,1,,n,,
exp012116,CMY178-37C,2,76,cell1,1,1,,n,,
exp012116,CMY178-37C,2,77,cell1,1,5,,c,,
exp012116,CMY178-37C,2,78,cell1,1,1,,c,,
exp012116,CMY178-37C,2,79,cell1,1,1,,n,,
exp012116,CMY178-37C,2,80,cell1,1,1,,n,,
exp012116,CMY178-37C,2,81,cell1,3,8,,c,,
exp012116,CMY178-37C,2,82,cell1,1,1,,n,,
exp012116,CMY178-37C,2,83,cell1,1,4,,c,,
exp012116,CMY178-37C,2,84,cell1,1,1,,n,,
exp012116,CMY178-37C,2,85,cell1,1,1,,n,,
exp012116,CMY178-37C,2,86,cell1,1,1,,n,,
exp012116,CMY178-37C,2,87,cell1,1,4,,c,,
exp012116,CMY178-37C,2,88,cell1,6,9,,c,,
exp012116,CMY178-37C,2,89,cell1,1,1,,n,,
exp012116,CMY178-37C,2,90,cell1,1,2,,c,,
exp012116,CMY178-37C,2,91,cell1,1,1,,n,,
exp012116,CMY178-37C,2,92,cell1,1,1,,n,,
exp012116,CMY178-37C,2,93,cell1,1,1,,n,,
exp012116,CMY178-37C,2,94,cell1,1,1,,n,,
exp012116,CMY178-37C,2,95,cell1,1,1,,n,,
exp012116,CMY178-37C,2,96,cell1,1,1,,n,,
exp012116,CMY178-37C,2,97,cell1,4,9,,c,,
exp012116,CMY178-37C,2,97,cell2,1,1,,n,,
exp012116,CMY178-37C,2,98,cell1,1,1,,n,,
exp012116,CMY178-37C,2,99,cell1,16,22,,c,,
exp012116,CMY178-37C,2,99,cell2,1,2,,c,,
exp012116,CMY178-37C,2,100,cell1,1,1,,c,,
exp012116,CMY178-37C,2,101,cell1,1,1,,n,,
exp012116,CMY178-37C,2,102,cell1,7,12,,c,,
exp012116,CMY178-37C,2,103,cell1,3,7,,c,,
exp012116,CMY178-37C,2,104,cell1,1,1,,c,,
exp012116,CMY178-37C,2,105,cell1,3,3,,c,,
exp012116,CMY178-37C,2,106,cell1,1,1,,n,,
exp012116,CMY178-37C,2,107,cell1,1,1,,c,,
exp012116,CMY178-37C,2,108,cell1,1,1,,c,,
exp012116,CMY178-37C,2,109,cell1,1,1,,n,,
exp012116,CMY178-37C,2,110,cell1,1,1,,n,,
exp012116,CMY178-37C,2,111,cell1,1,1,,n,,
exp012116,CMY178-37C,2,111,cell2,1,4,,c,,
exp012116,CMY178-37C,2,112,cell1,1,1,,n,,
exp012116,CMY178-37C,2,113,cell1,1,1,,c,,
exp012116,CMY178-37C,2,114,cell1,1,1,,c,,
exp012116,CMY178-37C,2,115,cell1,1,1,,n,,
exp012116,CMY178-37C,2,116,cell1,1,1,,n,,
exp012116,CMY178-37C,2,116,cell2,1,1,,n,,
exp012116,CMY178-37C,2,117,cell1,6,10,,c,,
exp012116,CMY178-37C,2,118,cell1,1,1,,n,,
exp012116,CMY178-37C,2,119,cell1,1,1,,n,,
exp012116,CMY178-37C,2,119,cell2,4,4,,c,,
exp012116,CMY178-37C,2,119,cell3,1,1,,n,,
exp012116,CMY178-37C,2,120,cell1,1,1,,n,,
exp012116,CMY178-37C,2,120,cell2,1,1,,n,,
exp012116,CMY178-37C,2,121,cell1,1,1,,n,,
exp012116,CMY178-37C,2,122,cell1,1,1,,n,,
exp012116,CMY178-37C,2,122,cell2,1,1,,n,,
exp012116,CMY178-37C,2,123,cell1,1,1,,n,,
exp012116,CMY178-37C,2,124,cell1,2,3,,c,,
exp012116,CMY178-37C,2,125,cell1,1,1,,n,,
exp012116,CMY178-37C,2,126,cell1,1,1,,n,,
exp012116,CMY178-37C,2,127,cell1,10,14,,c,,
exp012116,CMY178-37C,2,128,cell1,1,1,,c,,
exp012116,CMY178-37C,2,129,cell1,14,20,,c,,
exp012116,CMY178-37C,2,129,cell2,1,1,,n,,
exp012116,CMY178-37C,2,130,cell1,10,13,,c,,
exp012116,CMY178-37C,2,131,cell1,15,18,,c,,
exp012116,CMY178-37C,2,132,cell1,1,1,,n,,
exp012116,CMY178-37C,2,133,cell1,1,1,,n,,
exp012116,CMY178-37C,2,134,cell1,7,13,,c,,
exp012116,CMY178-37C,2,135,cell1,2,6,,c,,
exp012116,CMY178-37C,2,135,cell2,1,1,,n,,
exp012116,CMY178-37C,2,136,cell1,1,1,,n,,
exp012116,CMY178-37C,2,136,cell2,1,1,,n,,
exp012116,CMY178-37C,2,137,cell1,1,1,,n,,
exp012116,CMY178-37C,2,138,cell1,1,1,,n,,
exp012116,CMY178-37C,2,139,cell1,8,12,,c,,
exp012116,CMY178-37C,2,140,cell1,5,9,,c,,
exp012116,CMY178-37C,2,141,cell1,6,6,,n,,
exp012116,CMY178-37C,2,142,cell1,10,14,,c,,
exp012116,CMY178-37C,2,143,cell1,1,1,,c,,
exp012116,CMY178-37C,2,144,cell1,1,1,,n,,
exp012116,CMY178-37C,2,145,cell1,4,5,,c,,
exp012116,CMY178-37C,2,146,cell1,1,1,,n,,
exp012116,CMY178-37C,2,147,cell1,8,10,,c,,
exp012116,CMY178-37C,2,148,cell1,1,1,,n,,
exp012116,CMY178-37C,2,148,cell2,1,1,,n,,
exp012116,CMY178-37C,2,149,cell1,1,2,,c,,
exp012116,CMY178-37C,2,150,cell1,1,1,,n,,
exp012116,CMY178-37C,2,151,cell1,1,1,,c,,
exp012116,CMY178-37C,2,151,cell2,1,1,,n,,
exp012116,CMY178-37C,2,152,cell1,11,16,,c,,
exp012116,CMY178-37C,2,153,cell1,5,8,,c,,
exp012116,CMY178-37C,2,154,cell1,1,1,,n,,
exp012116,CMY178-37C,2,155,cell1,1,1,,n,,
exp012116,CMY178-37C,2,156,cell1,1,1,,n,,
exp012116,CMY178-37C,2,157,cell1,1,1,,c,,
