experiment,strain,series,image,cell,first,second,nuclei,mitos,cell.cycle,notes
exp011616,CMY178-30C,2,80,cell1,2,7,0,tc,,
exp011616,CMY178-30C,2,81,cell1,1,5,1,tc,,
exp011616,CMY178-30C,2,81,cell2,3,6,0,t,,
exp011616,CMY178-30C,2,82,cell1,NA,NA,0,tc,,out of frame
exp011616,CMY178-30C,2,82,cell2,2,7,0,tc,,
exp011616,CMY178-30C,2,83,cell1,2,6,1,t,,
exp011616,CMY178-30C,2,84,cell1,2,3,0,t,,
exp011616,CMY178-30C,2,85,cell1,2,4,0,t,,
exp011616,CMY178-30C,2,86,cell1,1,4,1,tc,,
exp011616,CMY178-30C,2,87,cell1,NA,NA,1,t,,out of frame
exp011616,CMY178-30C,2,87,cell2,2,7,0,c,,
exp011616,CMY178-30C,2,88,cell1,2,8,1,t,,
exp011616,CMY178-30C,2,89,cell1,3,6,0,c,,
exp011616,CMY178-30C,2,90,cell1,2,2,1,c,,
exp011616,CMY178-30C,2,91,cell1,2,6,1,t,,
exp011616,CMY178-30C,2,92,cell1,1,5,0,tc,,
exp011616,CMY178-30C,2,93,cell1,1,2,1,n,,
exp011616,CMY178-30C,2,94,cell1,1,3,1,n,,
exp011616,CMY178-30C,2,95,cell1,1,4,1,t,,
exp011616,CMY178-30C,2,96,cell1,3,8,1,c,,
exp011616,CMY178-30C,2,97,cell1,1,4,1,t,,
exp011616,CMY178-30C,2,98,cell1,2,5,2,n,,
exp011616,CMY178-30C,2,99,cell1,2,8,1,t,,
exp011616,CMY178-30C,2,100,cell1,3,3,1,c,,
exp011616,CMY178-30C,2,100,cell2,1,1,1,n,,
exp011616,CMY178-30C,2,100,cell3,3,9,1,t,,
exp011616,CMY178-30C,2,101,cell1,2,5,1,tc,,
exp011616,CMY178-30C,2,102,cell1,1,4,1,n,,
exp011616,CMY178-30C,2,102,cell2,2,7,1,c,,
exp011616,CMY178-30C,2,103,cell1,2,8,1,tc,,
exp011616,CMY178-30C,2,104,cell1,3,8,1,t,,
exp011616,CMY178-30C,2,104,cell2,2,8,1,t,,
exp011616,CMY178-30C,2,105,cell1,1,4,1,t,,
exp011616,CMY178-30C,2,106,cell1,1,5,1,t,,
exp011616,CMY178-30C,2,107,cell1,1,4,1,tc,,
exp011616,CMY178-30C,2,108,cell1,4,5,0,n,,
exp011616,CMY178-30C,2,109,cell1,1,6,1,c,,
exp011616,CMY178-30C,2,110,cell1,2,5,1,tc,,
exp011616,CMY178-30C,2,111,cell1,1,3,2,t,,
exp011616,CMY178-30C,2,112,cell1,1,2,0,t,,
exp011616,CMY178-30C,2,113,cell1,1,6,2,c,,
exp011616,CMY178-30C,2,114,cell1,1,7,1,tc,,
exp011616,CMY178-30C,2,115,cell1,2,6,1,tc,,
exp011616,CMY178-30C,2,116,cell1,2,5,2,tc,,
exp011616,CMY178-30C,2,117,cell1,3,4,0,t,,
exp011616,CMY178-30C,2,117,cell2,1,4,0,tc,,
exp011616,CMY178-30C,2,118,cell1,1,6,2,c,,
exp011616,CMY178-30C,2,119,cell1,4,7,2,c,,
exp011616,CMY178-30C,2,119,cell2,3,8,0,c,,
exp011616,CMY178-30C,2,120,cell1,2,7,1,t,,
exp011616,CMY178-30C,2,121,cell1,1,5,1,t,,
exp011616,CMY178-30C,2,121,cell2,1,3,0,t,,
exp011616,CMY178-30C,2,122,cell1,1,5,1,c,,
exp011616,CMY178-30C,2,122,cell2,1,3,0,t,,
exp011616,CMY178-30C,2,123,cell1,4,9,0,tc,,
exp011616,CMY178-30C,2,123,cell2,2,8,2,c,,
exp011616,CMY178-30C,2,124,cell1,1,6,1,t,,
exp011616,CMY178-30C,2,125,cell1,5,11,0,t,,
exp011616,CMY178-30C,2,126,cell1,1,6,0,t,,
exp011616,CMY178-30C,2,127,cell1,1,3,1,n,,
exp011616,CMY178-30C,2,128,cell1,1,7,1,c,,
exp011616,CMY178-30C,2,128,cell2,2,4,1,t,,
exp011616,CMY178-30C,2,129,cell1,2,6,0,t,,
exp011616,CMY178-30C,2,129,cell2,1,7,0,tc,,
exp011616,CMY178-30C,2,130,cell1,2,5,1,t,,
exp011616,CMY178-30C,2,131,cell1,3,7,1,c,,
exp011616,CMY178-30C,2,132,cell1,1,1,1,n,,
exp011616,CMY178-30C,2,133,cell1,1,4,1,tc,,
exp011616,CMY178-30C,2,134,cell1,1,7,1,c,,
exp011616,CMY178-30C,2,135,cell1,2,7,1,t,,
exp011616,CMY178-30C,2,136,cell1,2,5,1,tc,,
exp011616,CMY178-30C,2,137,cell1,2,4,0,c,,
exp011616,CMY178-30C,2,138,cell1,1,3,0,c,,
exp011616,CMY178-30C,2,139,cell1,3,8,1,t,,
exp011616,CMY178-30C,2,140,cell1,2,8,1,c,,
exp011616,CMY178-30C,2,141,cell1,1,3,1,c,,
exp011616,CMY178-30C,2,142,cell1,1,4,0,c,,
exp011616,CMY178-30C,2,143,cell1,2,5,2,t,,
exp011616,CMY178-30C,2,144,cell1,5,9,2,t,,
exp011616,CMY178-30C,2,145,cell1,1,1,0,c,,
exp011616,CMY178-30C,2,146,cell1,1,4,0,tc,,
exp011616,CMY178-30C,2,147,cell1,2,8,1,c,,
exp011616,CMY178-30C,2,148,cell1,1,7,1,t,,
exp011616,CMY178-30C,2,149,cell1,1,5,1,t,,
exp011616,CMY178-30C,2,150,cell1,1,4,1,t,,
exp011616,CMY178-37C,1,1,cell1,6,9,1,c,,
exp011616,CMY178-37C,1,2,cell1,1,3,1,c,,
exp011616,CMY178-37C,1,3,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,4,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,5,cell1,2,2,0,c,,
exp011616,CMY178-37C,1,6,cell1,1,2,1,c,,
exp011616,CMY178-37C,1,7,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,7,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,8,cell1,1,2,0,c,,
exp011616,CMY178-37C,1,9,cell1,1,1,0,c,,
exp011616,CMY178-37C,1,10,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,11,cell1,16,22,1,c,,
exp011616,CMY178-37C,1,12,cell1,2,2,1,c,,
exp011616,CMY178-37C,1,13,cell1,2,7,2,c,,
exp011616,CMY178-37C,1,13,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,14,cell1,10,NA,1,n,,
exp011616,CMY178-37C,1,15,cell1,9,11,1,c,,
exp011616,CMY178-37C,1,16,cell1,2,3,2,c,,
exp011616,CMY178-37C,1,17,cell1,2,2,0,c,,
exp011616,CMY178-37C,1,17,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,17,cell3,3,7,1,c,,
exp011616,CMY178-37C,1,18,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,19,cell1,2,2,2,c,wispy nucleus,
exp011616,CMY178-37C,1,20,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,21,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,22,cell1,6,10,1,c,,
exp011616,CMY178-37C,1,23,cell1,8,12,2,c,,
exp011616,CMY178-37C,1,24,cell1,7,14,2,tc,,
exp011616,CMY178-37C,1,25,cell1,1,3,0,c,,
exp011616,CMY178-37C,1,26,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,27,cell1,12,16,1,c,,
exp011616,CMY178-37C,1,28,cell1,2,3,1,c,,
exp011616,CMY178-37C,1,28,cell2,1,1,0,c,"nucleus in bud, but not cell",
exp011616,CMY178-37C,1,29,cell1,1,4,0,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,29,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,30,cell1,7,7,1,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,31,cell1,1,4,1,c,,
exp011616,CMY178-37C,1,32,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,32,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,32,cell3,2,2,0,c,,
exp011616,CMY178-37C,1,32,cell4,1,1,0,c,,
exp011616,CMY178-37C,1,32,cell5,3,4,2,c,,
exp011616,CMY178-37C,1,32,cell6,2,2,0,n,,
exp011616,CMY178-37C,1,33,cell1,4,5,1,c,,
exp011616,CMY178-37C,1,34,cell1,4,8,1,c,,
exp011616,CMY178-37C,1,35,cell1,6,11,1,c,,
exp011616,CMY178-37C,1,36,cell1,7,8,1,c,,
exp011616,CMY178-37C,1,37,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,38,cell1,4,10,0,c,,
exp011616,CMY178-37C,1,38,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,39,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,40,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,41,cell1,4,8,1,c,,
exp011616,CMY178-37C,1,42,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,42,cell2,3,3,1,c,,
exp011616,CMY178-37C,1,43,cell1,5,9,1,c,,
exp011616,CMY178-37C,1,43,cell2,1,1,1,n,fragmented nucleus,
exp011616,CMY178-37C,1,44,cell1,17,21,1,c,,
exp011616,CMY178-37C,1,45,cell1,10,14,1,c,,
exp011616,CMY178-37C,1,46,cell1,4,7,2,c,,
exp011616,CMY178-37C,1,47,cell1,11,14,1,c,,
exp011616,CMY178-37C,1,48,cell1,5,8,1,c,,
exp011616,CMY178-37C,1,49,cell1,15,21,2,c,,
exp011616,CMY178-37C,1,50,cell1,12,13,1,c,,
exp011616,CMY178-37C,1,51,cell1,10,16,1,c,,
exp011616,CMY178-37C,1,51,cell2,2,5,0,c,"nucleus in bud, but not cell",
exp011616,CMY178-37C,1,52,cell1,4,7,1,c,,
exp011616,CMY178-37C,1,52,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,53,cell1,8,11,1,c,,
exp011616,CMY178-37C,1,54,cell1,10,12,1,c,,
exp011616,CMY178-37C,1,55,cell1,8,10,1,c,,
exp011616,CMY178-37C,1,56,cell1,2,3,2,c,,
exp011616,CMY178-37C,1,57,cell1,15,18,1,c,,
exp011616,CMY178-37C,1,58,cell1,7,11,0,c,,
exp011616,CMY178-37C,1,58,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,59,cell1,14,17,2,c,,
exp011616,CMY178-37C,1,60,cell1,12,14,1,c,,
exp011616,CMY178-37C,1,61,cell1,18,21,2,c,,
exp011616,CMY178-37C,1,62,cell1,10,16,2,c,,
exp011616,CMY178-37C,1,62,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,62,cell3,1,1,0,n,,
exp011616,CMY178-37C,1,63,cell1,6,9,0,c,,
exp011616,CMY178-37C,1,63,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,63,cell3,4,4,1,n,,
exp011616,CMY178-37C,1,64,cell1,3,5,1,c,,
exp011616,CMY178-37C,1,65,cell1,5,12,1,c,,
exp011616,CMY178-37C,1,66,cell1,3,7,0,c,,
exp011616,CMY178-37C,1,67,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,67,cell2,1,3,2,c,,
exp011616,CMY178-37C,1,67,cell3,4,8,2,c,,
exp011616,CMY178-37C,1,68,cell1,10,10,1,c,,
exp011616,CMY178-37C,1,69,cell1,1,5,1,c,,
exp011616,CMY178-37C,1,70,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,71,cell1,11,12,1,c,,
exp011616,CMY178-37C,1,71,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,72,cell1,3,7,1,c,,
exp011616,CMY178-37C,1,73,cell1,2,2,0,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,74,cell1,5,8,1,c,,
exp011616,CMY178-37C,1,75,cell1,1,3,1,c,,
exp011616,CMY178-37C,1,76,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,76,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,77,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,78,cell1,4,5,2,c,,
exp011616,CMY178-37C,1,79,cell1,4,5,2,c,,
exp011616,CMY178-37C,1,80,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,81,cell1,5,9,1,c,,
exp011616,CMY178-37C,1,81,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,81,cell3,1,1,1,n,,
exp011616,CMY178-37C,1,82,cell1,4,8,2,c,,
exp011616,CMY178-37C,1,83,cell1,1,1,2,c,,
exp011616,CMY178-37C,1,84,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,84,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,85,cell1,1,4,1,c,,
exp011616,CMY178-37C,1,85,cell2,7,7,1,c,,
exp011616,CMY178-37C,1,86,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,87,cell1,1,3,1,c,,
exp011616,CMY178-37C,1,88,cell1,2,4,1,c,,
exp011616,CMY178-37C,1,88,cell2,1,3,1,c,,
exp011616,CMY178-37C,1,89,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,90,cell1,2,4,2,c,,
exp011616,CMY178-37C,1,91,cell1,2,2,0,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,92,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,93,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,94,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,95,cell1,1,3,1,c,,
exp011616,CMY178-37C,1,96,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,97,cell1,9,9,1,c,,
exp011616,CMY178-37C,1,97,cell2,1,2,1,c,,
exp011616,CMY178-37C,1,97,cell3,1,1,1,c,,
exp011616,CMY178-37C,1,98,cell1,2,2,1,c,,
exp011616,CMY178-37C,1,98,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,98,cell3,1,1,1,n,,
exp011616,CMY178-37C,1,99,cell1,3,8,1,c,,
exp011616,CMY178-37C,1,100,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,101,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,102,cell1,1,4,1,c,,
exp011616,CMY178-37C,1,103,cell1,8,12,0,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,104,cell1,4,8,1,c,,
exp011616,CMY178-37C,1,105,cell1,1,1,0,c,,
exp011616,CMY178-37C,1,106,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,106,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,107,cell1,13,19,2,c,,
exp011616,CMY178-37C,1,108,cell1,4,4,1,c,,
exp011616,CMY178-37C,1,109,cell1,5,11,2,c,,
exp011616,CMY178-37C,1,110,cell1,2,8,1,c,,
exp011616,CMY178-37C,1,111,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,111,cell2,1,2,0,c,"mitos stained, but no nucleus",
exp011616,CMY178-37C,1,112,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,113,cell1,3,6,0,c,,
exp011616,CMY178-37C,1,114,cell1,8,11,1,c,,
exp011616,CMY178-37C,1,115,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,116,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,116,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,117,cell1,4,7,1,c,,
exp011616,CMY178-37C,1,117,cell2,NA,NA,NA,NA,duplicate,
exp011616,CMY178-37C,1,118,cell1,4,4,0,c,,
exp011616,CMY178-37C,1,118,cell2,4,4,0,NA,duplicate,
exp011616,CMY178-37C,1,119,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,120,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,121,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,121,cell2,7,11,2,c,,
exp011616,CMY178-37C,1,122,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,123,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,124,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,124,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,125,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,126,cell1,11,16,2,c,,
exp011616,CMY178-37C,1,127,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,127,cell2,5,5,1,c,,
exp011616,CMY178-37C,1,128,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,128,cell2,5,6,0,c,,
exp011616,CMY178-37C,1,129,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,130,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,131,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,132,cell1,1,1,0,n,,
exp011616,CMY178-37C,1,132,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,133,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,134,cell1,6,6,1,c,fragmented nucleus,
exp011616,CMY178-37C,1,135,cell1,1,1,1,n,fragmented nucleus,
exp011616,CMY178-37C,1,136,cell1,11,11,1,n,,
exp011616,CMY178-37C,1,137,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,138,cell1,6,8,1,c,,
exp011616,CMY178-37C,1,139,cell1,3,6,1,c,,
exp011616,CMY178-37C,1,139,cell2,1,1,0,n,"nucleus in bud, but not cell",
exp011616,CMY178-37C,1,140,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,141,cell1,1,1,1,n,,
exp011616,CMY178-37C,1,142,cell1,8,8,1,c,,
exp011616,CMY178-37C,1,143,cell1,1,1,1,c,,
exp011616,CMY178-37C,1,144,cell1,4,5,1,c,,
exp011616,CMY178-37C,1,145,cell1,2,2,1,c,,
exp011616,CMY178-37C,1,145,cell2,1,1,1,n,,
exp011616,CMY178-37C,1,146,cell1,13,20,1,c,,
exp011616,CMY178-37C,1,146,cell2,1,1,0,n,,
exp011616,CMY178-37C,1,147,cell1,14,21,2,tc,,
exp011616,CMY178-37C,1,148,cell1,1,1,0,c,,
exp011616,CMY178-37C,1,149,cell1,6,11,2,c,,
exp011616,CMY178-37C,1,149,cell2,2,3,1,c,,
exp011616,CMY178-37C,1,150,cell1,1,1,1,n,,
