"","fn","temp","rep","row","col","Strain","PMY","maxGrowth","pointOfMaxGrowthRate","maxOD"
"698","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"G",11,"YJM1460",1575,5.22289141511806e-05,75,1.623
"699","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"G",12,"YJM1526",1583,5.71490179024696e-05,110,1.645
"700","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",1,"YJM271",1496,4.368956606416e-05,101,1.57
"701","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",2,"YJM470",1504,4.75356241110687e-05,116,1.758
"702","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",3,"YJM689",1512,5.13730545433857e-05,54,1.718
"703","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",4,"YJM987",1520,5.84512428709413e-06,66,0.78
"704","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",5,"YJM1133",1528,6.11256276745593e-05,123,1.768
"705","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",7,"YJM1311",1544,3.83106185692845e-05,126,1.597
"706","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",8,"YJM1356",1552,6.10125340082873e-05,147,1.716
"707","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",9,"YJM1399",1560,6.39227171443372e-05,118,1.667
"708","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",10,"YJM1433",1568,3.66096920932495e-05,6,1.581
"709","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",11,"YJM1463",1576,4.64626460403386e-05,24,1.674
"710","2015_screening_for_TS/20150113_35half_rep1.asc",35.5,1,"H",12,"YJM1527",1584,5.53374908905666e-05,111,1.67
"711","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",1,"YJM145",1489,5.88544196959939e-05,66,1.698
"712","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",2,"YJM320",1497,4.99212626487127e-05,22,1.695
"713","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",3,"YJM541",1505,5.15058283315064e-05,121,1.673
"714","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",4,"YJM693",1513,5.09852533872723e-05,114,1.515
"715","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",5,"YJM990",1521,4.73509874280137e-05,99,1.673
"716","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",6,"YJM1190",1529,5.65722657373835e-05,29,1.695
"717","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",7,"YJM1252",1537,4.32846689721318e-05,107,1.617
"718","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",8,"YJM1326",1545,5.19839253297288e-05,87,1.676
"719","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",9,"YJM1381",1553,4.23512962279272e-05,154,1.672
"720","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",10,"YJM1400",1561,3.90890902993974e-05,15,1.619
"721","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",11,"YJM1434",1569,5.08776247431826e-05,168,1.656
"722","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"A",12,"YJM1477",1577,8.8461337658659e-05,131,1.673
"723","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",1,"YJM189",1490,4.95021481968139e-05,32,1.651
"724","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",2,"YJM326",1498,4.46606683441386e-05,112,1.652
"725","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",3,"YJM554",1506,5.31144478070937e-05,66,1.625
"726","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",4,"YJM969",1514,4.46509899583872e-05,160,1.622
"727","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",5,"YJM993",1522,4.76229981335523e-05,29,1.645
"728","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",6,"YJM1199",1530,4.37717418216842e-05,176,1.612
"729","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",7,"YJM1273",1538,4.97560607176195e-05,61,1.625
"730","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",8,"YJM1332",1546,5.56951852372419e-05,138,1.632
"731","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",9,"YJM1383",1554,4.88257446793079e-05,45,1.612
"732","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",10,"YJM1401",1562,5.04548324292513e-05,136,1.627
"733","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",11,"YJM1439",1570,3.93549086151085e-05,171,1.536
"734","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"B",12,"YJM1478",1578,4.39836854427198e-05,8,1.707
"735","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",1,"YJM193",1491,6.08812781638577e-05,64,1.702
"736","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",2,"YJM428",1499,5.19391243612467e-05,83,1.704
"737","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",3,"YJM555",1507,5.27050515629901e-05,4,1.665
"738","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",4,"YJM972",1515,4.84695457199783e-05,182,1.617
"739","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",5,"YJM996",1523,4.73152842584086e-05,107,1.642
"740","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",6,"YJM1202",1531,5.14827552433861e-05,92,1.67
"741","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",7,"YJM1281",1539,5.08823439191815e-05,65,1.639
"742","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",8,"YJM1336",1547,4.42637156778654e-05,169,1.621
"743","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",9,"YJM1385",1555,5.25702404541871e-05,112,1.433
"744","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",10,"YJM1402",1563,5.1051564845848e-05,166,1.626
"745","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",11,"YJM1443",1571,5.42259966173002e-05,127,1.63
"746","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"C",12,"YJM1479",1579,4.28033930916673e-05,38,1.631
"747","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",1,"YJM195",1492,5.71559708190145e-05,112,1.685
"748","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",2,"YJM450",1500,5.38499464507377e-05,133,1.657
"749","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",3,"YJM627",1508,4.8329442753507e-05,189,1.662
"750","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",4,"YJM975",1516,5.37308882817418e-05,47,1.631
"751","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",5,"YJM1077",1524,3.92985052261522e-05,167,1.692
"752","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",6,"YJM1208",1532,5.62428665271911e-05,48,1.656
"753","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",7,"YJM1290",1540,4.54652192870314e-05,104,1.629
"754","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",8,"YJM1338",1548,5.31079515601292e-05,161,1.641
"755","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",9,"YJM1386",1556,5.41251776516282e-05,141,1.613
"756","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",10,"YJM1415",1564,4.28552183915638e-05,2,1.619
"757","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"D",11,"YJM1444",1572,4.39077918314527e-05,33,1.651
"758","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",1,"YJM244",1493,5.91823505746261e-05,64,1.662
"759","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",2,"YJM451",1501,5.35395611702945e-05,66,1.703
"760","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",3,"YJM681",1509,5.62767667322837e-05,85,1.69
"761","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",4,"YJM978",1517,5.52639147469015e-05,82,1.608
"762","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",5,"YJM1078",1525,5.52020926228841e-05,186,1.646
"763","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",6,"YJM1242",1533,4.56971272385105e-05,45,1.686
"764","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",7,"YJM1293",1541,5.22680361801675e-05,26,1.624
"765","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",8,"YJM1341",1549,4.86060518272981e-05,132,1.62
"766","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",9,"YJM1387",1557,4.90728297316627e-05,175,1.614
"767","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",10,"YJM1417",1565,5.40052766932338e-05,142,1.64
"768","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"E",12,"YJM1552",1587,4.33521711474491e-05,39,1.64
"769","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",1,"YJM248",1494,5.73007221411368e-05,33,1.652
"770","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",2,"YJM453",1502,4.42935413069288e-05,188,1.709
"771","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",3,"YJM682",1510,4.36133289218529e-05,122,1.688
"772","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",4,"YJM981",1518,5.0411484313435e-05,158,1.626
"773","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",5,"YJM1083",1526,3.68617110748582e-05,97,1.683
"774","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",6,"YJM1244",1534,4.9598546416191e-05,153,1.649
"775","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",7,"YJM1304",1542,4.44552867738358e-05,126,1.598
"776","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",8,"YJM1342",1550,5.02613787150652e-05,161,1.626
"777","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"F",10,"YJM1418",1566,4.77707259035463e-05,70,1.661
"778","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",1,"YJM270",1495,4.25907142144386e-05,148,1.731
"779","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",2,"YJM456",1503,5.22898343226707e-05,45,1.685
"780","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",3,"YJM683",1511,5.44837995511678e-05,79,1.634
"781","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",4,"YJM984",1519,4.95184412797647e-05,17,1.629
"782","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",5,"YJM1129",1527,4.82200204001946e-05,89,1.645
"783","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",6,"YJM1248",1535,4.59417926757249e-05,168,1.704
"784","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",7,"YJM1307",1543,5.1086529046159e-05,138,1.658
"785","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",8,"YJM1355",1551,4.57266074330182e-05,3,1.622
"786","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"G",9,"YJM1389",1559,4.16846390536706e-05,173,1.653
"787","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",1,"YJM271",1496,5.45436871793307e-05,115,1.669
"788","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",2,"YJM470",1504,5.08338263902251e-05,21,1.739
"789","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",4,"YJM987",1520,5.00650858975766e-05,29,1.685
"790","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",7,"YJM1311",1544,4.851132802569e-05,57,1.697
"791","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",8,"YJM1356",1552,5.41351370380415e-05,142,1.678
"792","2015_screening_for_TS/20150116_30C_rep4.asc",30,4,"H",9,"YJM1399",1560,5.46331476058996e-05,141,1.705
"793","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",1,"YJM145",1489,6.1193206999828e-05,172,1.663
"794","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",2,"YJM320",1497,5.64384944000873e-05,19,1.723
"795","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",3,"YJM541",1505,5.76758071759519e-05,98,1.698
"796","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",4,"YJM693",1513,5.09184515084367e-05,132,1.473
"797","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",5,"YJM990",1521,5.24365961373175e-05,174,1.706
"798","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",6,"YJM1190",1529,3.83434009941089e-05,120,1.42
"799","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",7,"YJM1252",1537,4.79388219518191e-05,170,1.628
"800","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",8,"YJM1326",1545,5.68905044019339e-05,13,1.719
"801","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",9,"YJM1381",1553,3.11212831458073e-05,177,1.454
"802","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",10,"YJM1400",1561,4.02895696434203e-05,82,1.654
"803","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",11,"YJM1434",1569,5.71364871511218e-05,56,1.695
"804","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"A",12,"YJM1477",1577,5.66931144367205e-05,69,1.681
"805","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",1,"YJM189",1490,5.39050899119751e-05,34,1.699
"806","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",2,"YJM326",1498,4.22640396201974e-05,95,1.711
"807","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",3,"YJM554",1506,5.55494805870868e-05,180,1.712
"808","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",4,"YJM969",1514,1.41141370950683e-05,143,0.754
"809","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",5,"YJM993",1522,3.90442767459303e-05,114,1.663
"810","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",6,"YJM1199",1530,4.69020904052579e-05,136,1.663
"811","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",7,"YJM1273",1538,5.55060549531457e-05,32,1.615
"812","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",8,"YJM1332",1546,5.97356163904745e-05,60,1.638
"813","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",9,"YJM1383",1554,2.0784964455762e-05,105,1.634
"814","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",10,"YJM1401",1562,5.95263526164012e-05,150,1.639
"815","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",11,"YJM1439",1570,4.126453640292e-05,79,1.552
"816","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"B",12,"YJM1478",1578,2.79607272358058e-06,74,0.259
"817","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",1,"YJM193",1491,5.98548522563649e-05,42,1.716
"818","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",2,"YJM428",1499,4.42524125267714e-05,38,1.805
"819","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",3,"YJM555",1507,5.87556667117168e-05,118,1.814
"820","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",4,"YJM972",1515,6.3698184496047e-06,64,0.885
"821","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",5,"YJM996",1523,2.05565721916477e-05,103,1.639
"822","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",6,"YJM1202",1531,4.52499717658863e-05,69,1.671
"823","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",7,"YJM1281",1539,5.71703759653838e-05,36,1.633
"824","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",8,"YJM1336",1547,5.21474466743165e-05,73,1.634
"825","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",9,"YJM1385",1555,5.14931361477521e-05,17,1.358
"826","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",10,"YJM1402",1563,5.47847616812319e-05,165,1.605
"827","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",11,"YJM1443",1571,5.8764635908483e-05,165,1.621
"828","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"C",12,"YJM1479",1579,3.45137377867387e-05,162,1.557
"829","2015_screening_for_TS/20150119_35half_rep2.asc",35.5,2,"D",1,"YJM195",1492,5.96458688707088e-05,72,1.708
